1,10,50,100,250,500,1000,2500,5000,full,price,time
46620.39811880049,46621.137418994316,46626.451141852354,46621.50993509447,46644.9799890776,46901.45027012236,47111.16901851207,47695.38615227012,50473.729969553,131.40950739805677,46625.65,2024-01-11T01:35:08.725Z
46621.91626907592,46622.41950467397,46627.94885308755,46622.05927873047,46672.22082007501,46890.09824966671,47103.72718541844,47695.2467970599,50388.37864887182,131.4053047336348,46626.03,2024-01-11T01:35:09.725Z
46622.535762157095,46620.70094542765,46624.376904463425,46622.9780130211,46673.57545971743,46891.62083682309,47105.11528819198,47687.23619320773,50388.432880803746,131.39785829735666,46623.33,2024-01-11T01:35:10.726Z
46622.37416041276,46620.89047408657,46626.50960763848,46619.88070706938,46673.07510976315,46890.91202852365,47104.76551747633,47691.13305306244,50469.1019867873,131.40220918089153,46616.91,2024-01-11T01:35:11.726Z
46622.410016525566,46622.09164626026,46633.54276463264,46628.36724633195,46673.454966931204,46891.48998050317,47105.0239298053,47696.34864038834,50390.37933881604,131.39979306757974,46622.07,2024-01-11T01:35:12.726Z
46627.881553612315,46630.374256059695,46636.341680662284,46642.90073976571,46675.9266423318,46909.92277803379,47109.14469441203,47706.886962065524,50492.216992727204,131.38650429869176,46627.64,2024-01-11T01:35:13.726Z
46619.33318030171,46620.05396824015,46622.49558860912,46628.00322316309,46677.07474973689,46897.56618061871,47105.38883339385,47692.73769540047,50397.21834487827,131.3691953694081,46623.18,2024-01-11T01:35:14.726Z
46603.87828869506,46605.730215937365,46607.92782042884,46604.16229033888,46670.830574112486,46877.81192883101,47096.96907405524,47693.310541940584,50387.183806215806,131.35395772345137,46615.74,2024-01-11T01:35:15.726Z
46607.86707317073,46610.12833604835,46611.788128533444,46611.459764111605,46671.261642627825,46893.98162809731,47103.394006659575,47682.28615447799,50394.05454711007,131.36984203615847,46615.74,2024-01-11T01:35:16.728Z
46612.384321955,46612.955332706035,46614.64888749962,46612.557364834895,46669.63758207731,46891.312528859686,47100.655689125764,47680.58191979794,50392.11426686434,131.38406680755438,46615.6,2024-01-11T01:35:17.729Z
46615.829395977744,46615.80366826146,46618.89234857582,46622.26050408056,46671.585921904436,46893.26203932304,47102.30366821866,47690.80720219392,50394.74126660307,131.37645188521216,46615.37,2024-01-11T01:35:18.729Z
46620.94299825431,46623.50246778113,46630.59788891114,46634.68955163938,46673.51330435737,46913.37962563892,47107.508638251085,47702.414661516625,50412.0873945546,131.35288646319822,46619.37,2024-01-11T01:35:19.729Z
46623.17285430847,46621.04381689538,46629.50078924534,46632.73032554896,46672.110943635016,46892.65400751273,47101.69203226801,47702.27510397081,50479.317046897624,131.3848214738223,46623.18,2024-01-11T01:35:20.729Z
46622.39392811451,46619.86577153504,46625.711898306574,46624.774548842644,46672.644241509945,46889.67512136699,47099.22096918502,47691.583731533516,50473.655901431695,131.40385776806284,46625.23,2024-01-11T01:35:21.730Z
46620.71492849431,46620.69868935892,46617.86789626805,46620.40808920016,46673.178681552796,46891.80700988904,47100.62409817607,47687.43705542551,50469.50441016055,131.39498292507932,46627.44,2024-01-11T01:35:22.730Z
46619.05695996254,46617.656109810254,46615.72227630192,46617.58569047995,46672.891316572575,46888.58223655688,47101.31621292449,47685.71041695715,50385.73865303328,131.39069528801963,46619.33,2024-01-11T01:35:23.730Z
46617.762012030005,46617.443632142684,46616.93025930085,46618.86743537974,46673.87472734855,46889.05782408098,47101.484906242935,47687.97016033445,50466.88005616534,131.39249576931687,46617.99,2024-01-11T01:35:24.730Z
46609.40716146521,46606.821720393156,46603.01908838199,46599.88064611799,46664.33621839051,46887.36785438051,47100.060752558915,47680.028790871285,50375.90872224509,131.37987457250293,46608.9,2024-01-11T01:35:25.731Z
46603.739994409625,46602.33049429985,46591.78271780709,46596.00567085896,46668.83963736836,46890.38901274242,47104.413196666705,47683.96775740116,50382.39169022824,131.3555434397088,46603.74,2024-01-11T01:35:26.731Z
46603.739994704345,46601.300141698746,46594.33470101881,46594.753858312746,46656.040335062185,46852.958841786276,47095.29144856147,47675.49433940661,50369.19877490883,131.3985157672184,46603.74,2024-01-11T01:35:27.731Z
46604.39134183479,46603.65627889932,46600.74462490925,46601.87795084531,46663.698764566645,46881.54234639621,47096.17707129917,47676.22256920519,50381.90450031267,131.40019671175173,46605.08,2024-01-11T01:35:28.731Z
46603.971276752876,46605.11352572659,46599.13342677711,46600.76345448717,46665.578413282215,46886.74770582052,47093.95763108831,47682.56303625154,50379.35341213198,131.36325996035586,46604.21,2024-01-11T01:35:29.731Z
46600.63234163014,46602.93659205998,46601.972284999196,46600.96693496898,46662.128151458644,46885.43722807201,47095.17064517233,47676.7432894685,50374.24550875174,131.3987644913174,46603.73,2024-01-11T01:35:30.731Z
46600.6537230802,46601.05603647548,46599.03414746371,46598.48695195492,46661.073732903475,46881.248467895326,47095.21991014948,47676.91265751555,50371.36752770092,131.39661184181054,46600.93,2024-01-11T01:35:31.731Z
46605.108253390106,46607.42042132172,46602.84503644253,46602.63310119602,46663.37363107687,46887.59744821918,47098.51859980313,47688.53914441437,50391.8550261042,131.38377129125644,46606.68,2024-01-11T01:35:32.731Z
46603.976903302464,46601.08421274488,46601.46770184991,46603.111784129316,46660.97226881942,46887.31605297855,47097.48103076154,47686.25334576993,50380.53962746199,131.38151264184552,46610.76,2024-01-11T01:35:33.732Z
46610.669999572,46609.03069736125,46606.51740757439,46601.210034230666,46669.05608531973,46896.083236731916,47106.158848951956,47692.670473872524,50399.95498508452,131.34854945526882,46612.99,2024-01-11T01:35:34.732Z
46608.07569899105,46607.990329190936,46601.30491093099,46600.192285632365,46664.75962064161,46889.599223823716,47100.37052043705,47689.885713919466,50394.07074154242,131.37564769978405,46607.39,2024-01-11T01:35:35.733Z
46602.97999689727,46602.70088802302,46599.829342274046,46589.89282230147,46664.87954914954,46891.860814429434,47103.32109720363,47683.4069560048,50396.95224192951,131.35666473232834,46602.98,2024-01-11T01:35:36.733Z
46603.210006502995,46602.90118197457,46604.05439640623,46604.91635672343,46665.01186995254,46888.49150216587,47099.065983611166,47685.86438381315,50390.02484460151,131.3844270852406,46603.22,2024-01-11T01:35:37.733Z
46605.57990002303,46603.54024424652,46600.47547696253,46597.398359826395,46662.44780193014,46882.55095403817,47097.2204160743,47677.18729823929,50383.58502598524,131.3941508972649,46608.36,2024-01-11T01:35:38.733Z
